revenue_diversity_score,view_count_sum,channel,name_cc
3,2944234.0,UC-lCjm6VLCotg5ZOfJ7xF9w,Hello Hunnay with Je...
2,40098156.0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
3,1788767.0,UC-lJ-F5mlPP6SYPkkq6gjwA,VikatanTV
3,26572.0,UC-lTjNx7oP91DydDbgFJTlw,Mae Layug
3,12254.0,UC-lUDsUcjn1H1zU8y6gdtRQ,Enoma
1,174.0,UC-lj4oGXKq83E7GPoz5pmjg,RealHomeRecording.co...
1,425531.0,UC-lmdv0OTb4uQQSzwbzhLsg,GlitchxCity
2,15857.0,UC-mConRSkyYyFrvMH3zQNMQ,Kenzie Elizabeth
4,162079.0,UC-mmuvRVdIfJsIkEY6qguTw,Madison King
2,95043.0,UC-mxnplD2WcxualV1Ie0pjA,rekjavicxxx
1,323.0,UC-nBgJlLX-y9ESKCUJ2pABQ,tomorrow man
4,1197655.0,UC-nPM1_kSZf91ZGkcgy_95Q,How to ADHD
3,6186.0,UC-nkUjPXXTIfUGpIj4fUbnQ,TECHNICAL RUPANSH
3,538178.0,UC-o0CfpOyFJOfyWKtqS1hZQ,Cocktail Chemistry
4,1325986.0,UC-oIdByeQwwH4ULueUV592w,The Morgan Report
0,103528.0,UC-oKX6xAZGW8qTeGOoIe9-A,SWAPNIL PATNI
0,25306.0,UC-oSaKCCEffJph0F7m6_xfA,intheblues
0,255.0,UC-oXQjQlg6vqEr5_fs7Iu6w,RIYAXUN
2,13863.0,UC-ol6cvdiLjBn4FrGgvhdrA,ZeldaMaster
1,25294.0,UC-orQ6r8c4qrDpKNLWaox-A,ozziereviews
1,10343.0,UC-oxdbBmrzmYdmUs4LLJNRA,The Travel Vlogger
3,236521.0,UC-pC1xsFPzcrL09DaW4jlBA,Natashas Kitchen
4,1944.0,UC-perPenLfqpxwoUIlK-oVg,Star Wars Radar
2,469.0,UC-phwEOmJ8EAW7m0g_Bw4Og,Derivative MVs
5,215071.0,UC-pkCUlaRDMA--8LTWQDuHA,Kennie J.D.
2,1688.0,UC-ptWR16ITQyYOglXyQmpzw,IAmTimCorey
1,76.0,UC-q-RG8ke0HsSjEi6CoNudQ,Purp TheMayor
4,77332.0,UC-qCk_BLmR4PmwWSz9e0vuA,Tia McIntosh
2,46927.0,UC-qk91J4pvGetPvjU7vrT6A,uxwbill
5,788641.0,UC-rcXs51R_ezTebXtx7dAZQ,Brian's Lawn Mainten...
3,5839.0,UC-rd2-8tSZIRIRJVCuYA_wg,ASMRplanet
2,19071.0,UC-sHvLhvJ5Z_qmqwLdjd0_w,Lorissa Nelson
3,132.0,UC-sQ0P6uSCe3vqWmzN_WSBw,DudetECH
1,481.0,UC-sY92cv3uD7uPqMAjfjCWQ,yusuf jacks
1,1976.0,UC-sfuXIt66rl7ogrumn8mAw,HelpTheMissing
3,60339.0,UC-sgHphfnBhikBxyF2GbMdw,thetruthergirls
4,2830.0,UC-snAu-ky_Uk6HXEgQzxZtA,ZéppeSmallsTV Gonç...
2,10201.0,UC-tChwdwjFjdpFmDfb-XueQ,Laughingstock Media
2,16656.0,UC-tDQ1jXnJ27Ll85xNSn9sQ,LearnApp
0,32750.0,UC-tEjU3PrA8aGhxa5WpaJwA,Uebert Angel -The Go...
1,19556.0,UC-tSwdwiezjLcTBjX-Ab8IA,Grilling JR with Jim...
2,23541.0,UC-tZk0bsaiq9KANWZ2BPO8w,DailyTekk
1,103559.0,UC-tc29lL509qJFigIeMO_yw,TheSeasonedCook
3,1313.0,UC-tsZbkRochzhYO7-9wrs-A,ReWildUniversity
5,2064328.0,UC-u7aggg_-Q__FjA4_TNSTA,StrikingScorpion82
2,4679.0,UC-u8ejSLwWikknO4-m7lmpw,Joe Tillman
3,2939.0,UC-u9BEGOiSmTYMB5IduNRjg,GoodFella Sports TV
1,132383.0,UC-uC8tfchhyy2tFwZJ2yXjw,FaceCulture
0,239.0,UC-uGYCmh9Eph7CO7uFpYRdA,Corporate Valley
4,234533.0,UC-uLlV7e5tPPQscME1NxNWg,Speed Beauty by Caro...
3,16278.0,UC-uP8fChoXf3FTHyttRRkUw,Desi-Rae Thinking
3,463152.0,UC-uaP4yRyHDoVZOX25y-KFA,Mad Desires Studio
2,999751.0,UC-uqnUOLs9eZHw4GLhobzoA,CottonRose Slime
2,68344.0,UC-uyvnv84IIzV3G_O4fPYgA,402THUNDER402
3,1811029.0,UC-v54XQalOcx5yco3aTixrg,Chigz Tech Reviews
2,59757.0,UC-vI-uJhsGZoO6GEZ44mskw,The Lair of Voltaire...
0,40342.0,UC-v_XGitwPQchj__zn1NPiw,Christian Maté Grab...
1,401697.0,UC-vzNYU9x8IYPk_r89mGvXA,Dinesh Kumar Takyar
1,5421.0,UC-wOxG8p_Nk5nFkSxZOxq6w,PfanderFilms
3,31370.0,UC-wcOUCFK2B6HIx32HgrS8g,Gregory Scott
2,2197.0,UC-wdveKCDbbjK0_rzR2XhVA,WherePostRockDwells
3,14137.0,UC-woTDQWrCsESntNLx2wDmg,Retro Crunch
0,97583.0,UC-x0BxAq_STsdGSg_kbrLvA,heavenlyparty
4,67212.0,UC-x5QIEIG4E978o0xLwVDVw,Dogma Soft Limited
